Level,Region,Division,School_ID ,Province,Modified_ClassOrg_BasedonEnrollment,IndexScore
ES,Region II,Isabela,103700,ISABELA,Combined Monograde and Multigrade,0.19
ES,Region II,Isabela,103701,ISABELA,Monograde,0.12
ES,Region II,Isabela,103702,ISABELA,Monograde,0.16
ES,Region II,Isabela,103703,ISABELA,Combined Monograde and Multigrade,0.16
ES,Region II,Isabela,103704,ISABELA,Monograde,0.1
ES,Region II,Isabela,103705,ISABELA,Monograde,0.11
ES,Region II,Isabela,103706,ISABELA,Monograde,0.17
ES,Region II,Isabela,103707,ISABELA,Monograde,0.11
ES,Region II,Isabela,103708,ISABELA,Monograde,0.12
ES,Region II,Isabela,103709,ISABELA,Monograde,0.12
ES,Region II,Isabela,103710,ISABELA,Monograde,0.08
ES,Region XII,Sultan Kudarat,103711,SULTAN KUDARAT,Monograde,0.63
ES,Region II,Isabela,103712,ISABELA,Combined Monograde and Multigrade,0.09
ES,Region II,Isabela,103713,ISABELA,Monograde,0.08
ES,Region XII,Sultan Kudarat,103714,SULTAN KUDARAT,Monograde,0.58
ES,Region II,Isabela,103715,ISABELA,Monograde,0.09
ES,Region II,Isabela,103716,ISABELA,Monograde,0.11
ES,Region II,Isabela,103717,ISABELA,Monograde,0.08
ES,Region II,Isabela,103718,ISABELA,Monograde,0.11
ES,Region II,Isabela,103719,ISABELA,Monograde,0.34
ES,Region II,Isabela,103720,ISABELA,Monograde,0.09
ES,Region IV-B,Palawan,103721,PALAWAN,Monograde,0.56
ES,Region II,Isabela,103722,ISABELA,Monograde,0.08
ES,Region II,Isabela,103723,ISABELA,Monograde,0.1
ES,Region II,Isabela,103725,ISABELA,Monograde,0.23
ES,Region II,Isabela,103726,ISABELA,Monograde,0.13
ES,Region II,Isabela,103727,ISABELA,Combined Monograde and Multigrade,0.26
ES,Region II,Isabela,103728,ISABELA,Monograde,0.12
ES,Region II,Isabela,103730,ISABELA,Monograde,0.31
ES,Region II,Isabela,103731,ISABELA,Combined Monograde and Multigrade,0.42
ES,Region IV-B,Palawan,103732,PALAWAN,Monograde,0.38
ES,Region II,Isabela,103733,ISABELA,Monograde,0.2
ES,Region II,Isabela,103734,ISABELA,Monograde,0.13
ES,Region X,Iligan City,103736,LANAO DEL NORTE,Combined Monograde and Multigrade,0.22
ES,Region II,Isabela,103737,ISABELA,Monograde,0.18
ES,Region II,Isabela,103738,ISABELA,Monograde,0.23
